2.670000000000000000e+02,3.620000000000000000e+02
1.007000000000000000e+03,1.147000000000000000e+03
1.385000000000000000e+03,1.420000000000000000e+03
1.707000000000000000e+03,1.873000000000000000e+03
2.603000000000000000e+03,2.775000000000000000e+03
3.172000000000000000e+03,3.343000000000000000e+03
3.822000000000000000e+03,3.851000000000000000e+03
4.093000000000000000e+03,4.219000000000000000e+03
4.798000000000000000e+03,4.816000000000000000e+03
5.268000000000000000e+03,5.410000000000000000e+03
5.688000000000000000e+03,5.712000000000000000e+03
5.839000000000000000e+03,5.913000000000000000e+03
6.209000000000000000e+03,6.349000000000000000e+03
7.141000000000000000e+03,7.266000000000000000e+03
7.551000000000000000e+03,7.678000000000000000e+03
8.064000000000000000e+03,8.155000000000000000e+03
8.399000000000000000e+03,8.478000000000000000e+03
8.951000000000000000e+03,9.058000000000000000e+03
9.534000000000000000e+03,9.576000000000000000e+03
9.889000000000000000e+03,1.003300000000000000e+04
1.043400000000000000e+04,1.054700000000000000e+04
1.110500000000000000e+04,1.126700000000000000e+04
1.174900000000000000e+04,1.191100000000000000e+04
1.231000000000000000e+04,1.233000000000000000e+04
1.271200000000000000e+04,1.282500000000000000e+04
1.345800000000000000e+04,1.361700000000000000e+04
1.398100000000000000e+04,1.402500000000000000e+04
1.441000000000000000e+04,1.456100000000000000e+04
1.528300000000000000e+04,1.543100000000000000e+04
1.614600000000000000e+04,1.633800000000000000e+04
1.680200000000000000e+04,1.682600000000000000e+04
1.765800000000000000e+04,1.788400000000000000e+04
1.835400000000000000e+04,1.839100000000000000e+04
1.858500000000000000e+04,1.868100000000000000e+04
1.912500000000000000e+04,1.924700000000000000e+04
1.982400000000000000e+04,1.993400000000000000e+04
2.029800000000000000e+04,2.048300000000000000e+04
2.091200000000000000e+04,2.098100000000000000e+04
2.137600000000000000e+04,2.149700000000000000e+04
2.218500000000000000e+04,2.226400000000000000e+04
2.257700000000000000e+04,2.261800000000000000e+04
2.293400000000000000e+04,2.295400000000000000e+04
2.324700000000000000e+04,2.340900000000000000e+04
2.403100000000000000e+04,2.422900000000000000e+04
